Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2237.0,007,007,1.0
2132.0,021,020,1.0
2221.0,010,010,1.0
5057.0,029,007,1.0
2633.0,004,001,1.0
4259.0,009,024,1.0
4493.0,017,026,1.0
2023.0,013,024,1.0
5069.0,003,024,1.0
4244.0,019,027,1.0
2014.0,002,008,1.0
2365.0,004,011,1.0
2250.0,003,012,1.0
5087.0,008,010,1.0
2637.0,023,010,1.0
6088.0,024,018,1.0
5087.0,021,020,1.0
2620.0,018,019,1.0
4249.0,008,013,1.0
2122.0,004,016,1.0
5716.0,022,002,1.0
2146.0,008,202,1.0
2218.0,005,014,1.0
4368.0,020,035,1.0
4255.0,016,025,1.0
2039.0,012,022,1.0
7420.0,012,012,1.0
2364.0,016,010,1.0
2785.0,004,013,1.0
2116.0,016,002,1.0
2613.0,026,006,1.0
2688.0,001,006,1.0
2612.0,020,026,1.0
5559.0,019,032,1.0
2104.0,023,020,1.0
5066.0,015,019,1.0
4301.0,016,019,1.0
4005.0,022,018,1.0
5223.0,021,021,1.0
4231.0,008,029,1.0
4250.0,017,030,1.0
2620.0,005,012,1.0
2517.0,009,036,1.0
2122.0,005,013,1.0
4301.0,001,008,1.0
2329.0,016,011,1.0
5055.0,018,022,1.0
2623.0,027,009,1.0
2640.0,017,002,1.0
6065.0,005,018,1.0
4259.0,007,024,1.0
2265.0,006,013,1.0
2112.0,009,002,1.0
2242.0,015,009,1.0
5527.0,032,008,1.0
2233.0,024,008,1.0
2326.0,021,012,1.0
2513.0,029,002,1.0
5592.0,021,005,1.0
5591.0,004,025,1.0
2766.0,018,007,1.0
5075.0,021,035,1.0
2038.0,030,017,1.0
2642.0,015,013,1.0
5442.0,023,041,1.0
2238.0,004,026,1.0
2177.0,023,007,1.0
2036.0,007,007,1.0
2022.0,018,017,1.0
7451.0,021,029,1.0
2163.0,012,013,1.0
2242.0,014,023,1.0
2156.0,007,007,1.0
6048.0,020,025,1.0
5057.0,019,007,1.0
2219.0,004,007,1.0
5049.0,028,021,1.0
5460.0,003,009,1.0
2181.0,002,007,1.0
2250.0,003,016,1.0
2238.0,017,003,1.0
2108.0,027,004,1.0
2169.0,007,009,1.0
2606.0,019,019,1.0
5473.0,014,010,1.0
5057.0,023,022,1.0
4412.0,008,009,1.0
2613.0,017,018,1.0
5046.0,026,015,1.0
5072.0,031,013,1.0
2215.0,015,085,1.0
5401.0,021,024,1.0
2633.0,003,014,1.0
2623.0,006,002,1.0
5511.0,024,020,1.0
2781.0,032,010,1.0
2407.0,001,030,1.0
2325.0,016,007,1.0
5172.0,025,006,1.0
2121.0,016,022,1.0
2216.0,021,027,1.0
2822.0,037,012,1.0
2177.0,017,014,1.0
4382.0,002,008,1.0
4494.0,022,030,1.0
5510.0,007,034,1.0
2560.0,023,001,1.0
2229.0,004,038,1.0
5015.0,009,005,1.0
2233.0,008,010,1.0
2407.0,005,027,1.0
2024.0,020,010,1.0
2028.0,023,005,1.0
6083.0,020,017,1.0
2234.0,020,023,1.0
2410.0,015,009,1.0
2337.0,005,002,1.0
